dbo.spx_obtenerdatoempleadobdboletasmakiro	afd647310e04f73a4acc2a9cdb79d735	0f2e70f11befba3a1115fdaf5f909724
dbo.spx_obtenerdatoempleadobdboletasmakiroxsucursal	7e04100871560d81f98db7a1a4e2d51d	30ccf45cde9de4aff2970f67e1891bbe
dbo.spx_obtenerdatosusuario	661d6df2601a4054c6f8eab8d30e8011	1ae659ff238a2a7c68d0351edcaa5ffc
dbo.spx_obtenerestadoproductobp	9a2db83593930e54f67a87ec7c294b1a	afc7aeda22c7e165e90177ae243d2b7f
dbo.spx_obtenerfechaactual	c7dc1c53a66402560045f115b451a06f	faf6a88df6486e17d505139d8a734c99
dbo.spx_obtenerlistacu	15e634f8a6a3216d3eb762fae789ad02	3f92e8fd24cde5518909a9e91fbfd821
dbo.spx_obtenerlistausuario	0cff74208b655386c08edd851e9e51c6	b1e20f2c03e366d5aea000fcb6ba602b
dbo.spx_obtenerrutaxidtecnico	68d76dd4fb84fcd5bf0213f225f315fc	4c492c4d100b7aca1d9a5844a9da89d7
dbo.spx_obtenertablaprocedimientos	178f241bab456cdf6de18a4b5d78b43e	0272d247162d485fc59fb818782b0cd1
dbo.spx_obtenertiposervicio	1fbfe439a707a8fcefdd165297932639	b5bbf51833517d9d41f06331dab54cef
dbo.spx_obtenerusopromediomaterialotalarma	7bab9dd15aa762afc7c6bcaba498fef7	e311cd04c3b4a040166a1f3d3d1e00e9
dbo.spx_rutascuadre	3969861d5ee800f47330926b33b0b0ed	8f268cdf0dfba1877ee7c4dc86765d79
dbo.spx_sepuedeeliminartecnico	6a0c666ca772c7c7d7a1ad55ab6f03da	e4049c5ca9210624e37137aa7db8184f
dbo.spx_sepuedehacercierrealmacen	007befa51bafb5c7de12e0dc045e9f15	73873357a4060682dac1090cafcd06e0
dbo.spx_sepuedehacercierrealmacenpr_pd	d0c007c4a3a231bd415dbfc8eebe30b0	9d341db98b07165f00232d8468220fd3
dbo.spx_sepuederegistrarcierrepr_pd	5fc22229afe4c692ee18da57b7a08a69	a932a82339a6909fbbee2f7044517ac9
dbo.spx_traerdatoseriechipidcu_cunr2	7328649f13e9afaa2e01683a70e09b95	8438bd8965e34376f7ea99a1b445c663
dbo.spx_traerdatoseriechipidcu_importaringreso	9910c88584035ff59c7426f3b5fa47b6	c26d0c0c66c3405baa4bf16bb8af53a6
dbo.spx_traerdatoseriechipidcu_otvf	6c362dbfcf04f7c5ee8cd2b49c3f5501	d4e6baea6c7cc16a97641e61c3c6ffa9
dbo.spx_traerserie2	1acecdbfeb38290037e11903077125d4	e365386ee9b6b948a426dcc90df74f7d
dbo.spx_traertiposolicitanteempleado	6196fbb9c4f3a97fb0e3114d15609eaa	a21d3080f01a811c23a7a27bf395b9cb
dbo.spx_traertodossalidastraspaso	31b92b0c7c3dd7c38a698dc42fb1d20e	573ab1d8fd97dc88a2ae7eea0131cf3b
dbo.spx_updatearchivobajaproducto	9544d0898a4e4d2d37f7e6789aab3d4d	f1f9731a00c043c0f2780d9ccbd3a8d4
